Başlangıç Tarihi,Bitiş Tarihi,kod,renk,model,100cm,100cm camlı,90cm,90cm camlı
2024-07-19,2024-07-26,230,koyu ceviz,karışık çizgi,15.0,4.0,4.0,
2024-07-19,2024-07-26,240,,,,,,
2024-07-19,2024-07-26,260,koyu ceviz,iki göbek,10.0,,3.0,
2024-07-19,2024-07-26,300,gold ceviz,yavru kanat,,,,
2024-07-19,2024-07-26,310,gold ceviz,madra,4.0,,1.0,
2024-07-19,2024-07-26,320,gold ceviz,baklava,2.0,1.0,,2.0
2024-07-19,2024-07-26,330,gold ceviz,karışık çizgi,7.0,,17.0,
2024-07-19,2024-07-26,340,,,,,,
2024-07-19,2024-07-26,360,gold ceviz,iki göbek,33.0,,4.0,
2024-07-19,2024-07-26,400,ABD ceviz,yavru kanat,,,,
2024-07-19,2024-07-26,410,ABD ceviz,madra,,,,
2024-07-19,2024-07-26,420,ABD ceviz,baklava,2.0,,,
2024-07-19,2024-07-26,430,ABD ceviz,karışık çizgi,,,,
2024-07-19,2024-07-26,440,,,,,,
2024-07-19,2024-07-26,460,ABD ceviz,iki göbek,11.0,,,
2024-07-19,2024-07-26,500,wenge,yavru kanat,,,,
2024-07-19,2024-07-26,520,wenge,baklava,,,,
2024-07-19,2024-07-26,530,wenge,karışık çizgi,,,,
2024-07-19,2024-07-26,540,,,,,,
2024-07-19,2024-07-26,560,wenge,iki göbek,14.0,,1.0,
2024-07-19,2024-07-26,600,bute beyaz,yavru kanat,,,,
2024-07-19,2024-07-26,610,bute beyaz,madra,3.0,4.0,1.0,
2024-07-19,2024-07-26,620,bute beyaz,baklava,7.0,,1.0,1.0
2024-07-19,2024-07-26,630,bute beyaz,karışık çizgi,61.0,3.0,20.0,6.0
2024-07-19,2024-07-26,640,,,,,,
2024-07-19,2024-07-26,660,bute beyaz,iki göbek,152.0,14.0,36.0,36.0
2024-07-19,2024-07-26,700,küp akça,yavru kanat,,,,
2024-07-19,2024-07-26,720,küp akça,baklava,11.0,,,1.0
2024-07-19,2024-07-26,730,küp akça,karışık çizgi,16.0,1.0,7.0,
2024-07-19,2024-07-26,740,,,1.0,,,
2024-07-19,2024-07-26,760,küp akça,iki göbek,51.0,1.0,,
2024-07-19,2024-07-26,800,ardahan gri,yavru kanat,,,,
2024-07-19,2024-07-26,810,ardahan gri,madra,30.0,,,8.0
2024-07-19,2024-07-26,820,ardahan gri,baklava,3.0,1.0,8.0,1.0
2024-07-19,2024-07-26,830,ardahan gri,karışık çizgi,,,,
2024-07-19,2024-07-26,840,,,,,,
2024-07-19,2024-07-26,860,ardahan gri,iki göbek,9.0,1.0,7.0,3.0
2024-07-19,2024-07-26,900,pvc gri,yavru kanat,,,,
